Administrative Unit;Administrative Unit Name;Administrative Unit - RegionId;School;School Name;Scale;Units;2014;2015;2016;2017;2018;2019;2020
C1;Kenya;KE;1;Primary;units;Number;9950746;10090759;10285388;10403701;10542500;10072040;10170065
C1;Kenya;KE;2;Secondary;units;Number;2331697;2558981;2720563;2830800;2942705;3260007;3520433
C2;Mombasa;KE-300-MO;1;Primary;units;Number;140765;137861;145641;147316;149275;155337;153523
C2;Mombasa;KE-300-MO;2;Secondary;units;Number;27542;31111;33389;34742;36976;36553;42798
C3;Kwale;KE-300-KW;1;Primary;units;Number;178166;183591;186268;188411;190917;203634;219103
C3;Kwale;KE-300-KW;2;Secondary;units;Number;25739;27547;28792;29959;30780;34109;41093
C4;Kilifi;KE-300-KI;1;Primary;units;Number;310007;305097;313364;316969;321185;353254;370849
C4;Kilifi;KE-300-KI;2;Secondary;units;Number;47010;51765;54841;57063;59848;82136;89505
C5;Tana River;KE-300-TR;1;Primary;units;Number;49668;51451;54046;54668;55395;59674;56746
C5;Tana River;KE-300-TR;2;Secondary;units;Number;5782;6467;6769;7044;7357;8816;9977
C6;Lamu;KE-300-LA;1;Primary;units;Number;27416;26820;27799;28119;28593;32359;34510
C6;Lamu;KE-300-LA;2;Secondary;units;Number;5932;5954;5998;6241;6602;7319;8272
C7;Taita Taveta;KE-300-TT;1;Primary;units;Number;69440;69027;68109;68892;69808;67177;69639
C7;Taita Taveta;KE-300-TT;2;Secondary;units;Number;20776;21897;22229;23130;23168;25275;29026
C8;Garissa;KE-500-GA;1;Primary;units;Number;124503;130790;131820;133336;135109;77465;82324
C8;Garissa;KE-500-GA;2;Secondary;units;Number;14756;16328;19335;20118;21377;24004;20867
C9;Wajir;KE-500-WA;1;Primary;units;Number;66232;71706;74373;75229;76230;76959;81346
C9;Wajir;KE-500-WA;2;Secondary;units;Number;10514;11786;12922;13446;14403;17898;20176
C10;Mandera;KE-500-MA;1;Primary;units;Number;91565;99062;105737;106953;108375;102503;121477
C10;Mandera;KE-500-MA;2;Secondary;units;Number;12966;13923;15823;16464;17744;23084;18641
C11;Marsabit;KE-400-MB;1;Primary;units;Number;59011;57939;58730;59406;60196;64787;61776
C11;Marsabit;KE-400-MB;2;Secondary;units;Number;5133;6438;7424;7725;8114;9100;9676
C12;Isiolo;KE-400-IS;1;Primary;units;Number;35963;36238;37010;37436;37934;35221;39201
C12;Isiolo;KE-400-IS;2;Secondary;units;Number;4474;4460;5364;5581;5788;6684;7528
C13;Meru;KE-400-MU;1;Primary;units;Number;331184;327648;327437;331203;335608;317333;302896
C13;Meru;KE-400-MU;2;Secondary;units;Number;87142;92897;97042;100974;103591;115515;120062
C14;Tharaka Nithi;KE-400-TN;1;Primary;units;Number;100053;101610;101426;102593;103957;98983;102259
C14;Tharaka Nithi;KE-400-TN;2;Secondary;units;Number;39616;41254;44177;45967;47268;49236;53037
C15;Embu;KE-400-EM;1;Primary;units;Number;123241;128821;129935;131430;133178;124774;110689
C15;Embu;KE-400-EM;2;Secondary;units;Number;40917;43249;46374;48253;50047;56607;59509
C16;Kitui;KE-400-KI;1;Primary;units;Number;346022;345160;343103;347050;351666;335078;445227
C16;Kitui;KE-400-KI;2;Secondary;units;Number;74252;80417;84480;87903;90777;100263;102560
C17;Machakos;KE-400-MC;1;Primary;units;Number;289962;291880;289557;292888;296783;284390;284322
C17;Machakos;KE-400-MC;2;Secondary;units;Number;94932;101529;104867;109116;111223;118197;123120
C18;Makueni;KE-400-MA;1;Primary;units;Number;282866;278357;272610;275746;279413;255093;239354
