Administrative_Unit_Name;background_characteristic;Unit;Date;Value;Administrative Unit - RegionId
Kenya;Total Population;Number;2019;47564296;KE
Kenya;Male;Number;2019;23548056;KE
Kenya;Female;Number;2019;24014716;KE
Kenya;Total Households;Number;2019;12143913;KE
Kenya;Land Area;sq. km;2019;580895;KE
Kenya;Density;persons per sq. km;2019;82;KE
Mombasa;Total Population;Number;2019;1208333;KE-300-MO
Mombasa;Male;Number;2019;610257;KE-300-MO
Mombasa;Female;Number;2019;598046;KE-300-MO
Mombasa;Total Households;Number;2019;378422;KE-300-MO
Mombasa;Land Area;sq. km;2019;220;KE-300-MO
Mombasa;Density;persons per sq. km;2019;5495;KE-300-MO
Kwale;Total Population;Number;2019;866820;KE-300-KW
Kwale;Male;Number;2019;425121;KE-300-KW
Kwale;Female;Number;2019;441681;KE-300-KW
Kwale;Total Households;Number;2019;173176;KE-300-KW
Kwale;Land Area;sq. km;2019;8254;KE-300-KW
Kwale;Density;persons per sq. km;2019;105;KE-300-KW
Kilifi;Total Population;Number;2019;1453787;KE-300-KI
Kilifi;Male;Number;2019;704089;KE-300-KI
Kilifi;Female;Number;2019;749673;KE-300-KI
Kilifi;Total Households;Number;2019;298472;KE-300-KI
Kilifi;Land Area;sq. km;2019;12553;KE-300-KI
Kilifi;Density;persons per sq. km;2019;116;KE-300-KI
Tana River;Total Population;Number;2019;315943;KE-300-TR
Tana River;Male;Number;2019;158550;KE-300-TR
Tana River;Female;Number;2019;157391;KE-300-TR
Tana River;Total Households;Number;2019;68242;KE-300-TR
Tana River;Land Area;sq. km;2019;37904;KE-300-TR
Tana River;Density;persons per sq. km;2019;8;KE-300-TR
Lamu;Total Population;Number;2019;143920;KE-300-LA
Lamu;Male;Number;2019;76103;KE-300-LA
Lamu;Female;Number;2019;67813;KE-300-LA
Lamu;Total Households;Number;2019;37963;KE-300-LA
Lamu;Land Area;sq. km;2019;6283;KE-300-LA
Lamu;Density;persons per sq. km;2019;23;KE-300-LA
Taita Taveta;Total Population;Number;2019;340671;KE-300-TT
Taita Taveta;Male;Number;2019;173337;KE-300-TT
Taita Taveta;Female;Number;2019;167327;KE-300-TT
Taita Taveta;Total Households;Number;2019;96429;KE-300-TT
Taita Taveta;Land Area;sq. km;2019;17152;KE-300-TT
Taita Taveta;Density;persons per sq. km;2019;20;KE-300-TT
Garissa;Total Population;Number;2019;841353;KE-500-GA
Garissa;Male;Number;2019;458975;KE-500-GA
Garissa;Female;Number;2019;382344;KE-500-GA
Garissa;Total Households;Number;2019;141394;KE-500-GA
Garissa;Land Area;sq. km;2019;44753;KE-500-GA
Garissa;Density;persons per sq. km;2019;19;KE-500-GA
Wajir;Total Population;Number;2019;781263;KE-500-WA
Wajir;Male;Number;2019;415374;KE-500-WA
Wajir;Female;Number;2019;365840;KE-500-WA
Wajir;Total Households;Number;2019;127932;KE-500-WA
Wajir;Land Area;sq. km;2019;56774;KE-500-WA
Wajir;Density;persons per sq. km;2019;14;KE-500-WA
Mandera;Total Population;Number;2019;867457;KE-500-MA
Mandera;Male;Number;2019;434976;KE-500-MA
Mandera;Female;Number;2019;432444;KE-500-MA
Mandera;Total Households;Number;2019;125763;KE-500-MA
Mandera;Land Area;sq. km;2019;25942;KE-500-MA
Mandera;Density;persons per sq. km;2019;33;KE-500-MA
Marsabit;Total Population;Number;2019;459785;KE-400-MB
Marsabit;Male;Number;2019;243548;KE-400-MB
Marsabit;Female;Number;2019;216219;KE-400-MB
Marsabit;Total Households;Number;2019;77495;KE-400-MB
Marsabit;Land Area;sq. km;2019;70944;KE-400-MB
Marsabit;Density;persons per sq. km;2019;6;KE-400-MB
Isiolo;Total Population;Number;2019;268002;KE-400-IS
Isiolo;Male;Number;2019;139510;KE-400-IS
Isiolo;Female;Number;2019;128483;KE-400-IS
Isiolo;Total Households;Number;2019;58072;KE-400-IS
Isiolo;Land Area;sq. km;2019;25349;KE-400-IS
Isiolo;Density;persons per sq. km;2019;11;KE-400-IS
Meru;Total Population;Number;2019;1545714;KE-400-MU
Meru;Male;Number;2019;767698;KE-400-MU
Meru;Female;Number;2019;777975;KE-400-MU
Meru;Total Households;Number;2019;426360;KE-400-MU
Meru;Land Area;sq. km;2019;7014;KE-400-MU
Meru;Density;persons per sq. km;2019;220;KE-400-MU
Tharaka Nithi;Total Population;Number;2019;393177;KE-400-TN
Tharaka Nithi;Male;Number;2019;193764;KE-400-TN
Tharaka Nithi;Female;Number;2019;199406;KE-400-TN
Tharaka Nithi;Total Households;Number;2019;109860;KE-400-TN
Tharaka Nithi;Land Area;sq. km;2019;2564;KE-400-TN
Tharaka Nithi;Density;persons per sq. km;2019;153;KE-400-TN
Embu;Total Population;Number;2019;608599;KE-400-EM
Embu;Male;Number;2019;304208;KE-400-EM
Embu;Female;Number;2019;304367;KE-400-EM
Embu;Total Households;Number;2019;182743;KE-400-EM
Embu;Land Area;sq. km;2019;2821;KE-400-EM
Embu;Density;persons per sq. km;2019;216;KE-400-EM
Kitui;Total Population;Number;2019;1136187;KE-400-KI
Kitui;Male;Number;2019;549003;KE-400-KI
Kitui;Female;Number;2019;587151;KE-400-KI
Kitui;Total Households;Number;2019;262942;KE-400-KI
Kitui;Land Area;sq. km;2019;30430;KE-400-KI
Kitui;Density;persons per sq. km;2019;37;KE-400-KI
Machakos;Total Population;Number;2019;1421932;KE-400-MC
Machakos;Male;Number;2019;710707;KE-400-MC
Machakos;Female;Number;2019;711191;KE-400-MC
Machakos;Total Households;Number;2019;402466;KE-400-MC
Machakos;Land Area;sq. km;2019;6037;KE-400-MC
Machakos;Density;persons per sq. km;2019;236;KE-400-MC
Makueni;Total Population;Number;2019;987653;KE-400-MA
Makueni;Male;Number;2019;489691;KE-400-MA
Makueni;Female;Number;2019;497942;KE-400-MA
Makueni;Total Households;Number;2019;244669;KE-400-MA
